Country	Life expectancy	Logpop	LogBirth	Sqrt.Obese%	Education($%GDP)	LGdp/cap	LogImp/c	LogExp/c	Sqrt.Airp/c	Cell/cap	LogHIV	Birthrate	population	Obesity%	GDP/cap	Imp/cap	Exp/cap	Airp/cap	Imports	Exports	Airports	Cell phones
Lebanon	77.22	6.7695665	1.1702617	5.2345009	2.2	4.1986571	3.5520319	2.995804	0.41230324	0.67997583		14.8	5882562	27.4	15800	3564.7733	990.3848	0.16999396	20970000000	5826000000	1000000	4000000
Nicaragua	72.72	6.767055	1.2650538	4.7116876	4.6	3.6532125	2.9849935	2.6133372	0.18482906	0.9140585		18.41	5848641	22.2	4500	966.03638	410.52272	0.03416178	5650000000	2401000000	199800	5346000
Sierra Leone	57.39	6.7591936	1.5728716	2.607681	2.9	3.146128	2.454855	2.4347653	0.0509327	0.38476772	0.17609126	37.4	5743725	6.8	1400	285.00668	272.12306	0.00259414	1637000000	1563000000	14900	2210000
United Arab Emirates	77.09	6.7504162	1.191451	5.7183914		4.4756712	4.6468284	4.8164924	0.78277779	2.4472335		15.54	5628805	32.7	29900	44343.338	65537.889	0.61274107	249600000000	368900000000	3449000	13775000
Kyrgyzstan	70.06	6.7485146	1.3679147	3.9370039	6.8	3.39794	2.9575201	2.5258742	0.62583519	1.2133731		23.33	5604212	15.5	2500	906.81794	335.64041	0.39166969	5082000000	1881000000	2195000	6800000
Denmark	79.09	6.7457832	1.0094509	4.2661458	8.7	4.5774918	4.2474325	4.2795226	0.9235389	1.1851156		10.22	5569077	18.2	37800	17677.974	19033.675	0.8529241	98450000000	106000000000	4750000	6600000
Singapore	84.38	6.7456447	0.90848502	2.6645825	3	4.7951846	4.8260641	4.8674568	0.76228047	1.4482781		8.1	5567301	7.1	62400	66998.353	73698.189	0.58107151	373000000000	410300000000	3235000	8063000
Slovakia	76.69	6.7358848	1.0004341	5.0398413	4.2	4.392697	4.155987	4.1816207	0.86393484	1.119667		10.01	5443583	25.4	24700	14321.45	15192.2	0.7463834	77960000000	82700000000	4063000	6095000
Central African Republic	51.35	6.722466	1.5496162	1.8708287	1.2	2.845098	1.6171841	1.4202362	0.06543669	0.20272988	0.67209786	35.45	5277959	3.5	700	41.417525	26.316991	0.00428196	218600000	138900000	22600	1070000
Finland	79.69	6.7217116	1.0149403	4.7958315	6.8	4.5550944	4.1275235	4.1573843	0.91311355	1.7689041		10.35	5268799	23	35900	13412.924	14367.601	0.83377635	70670000000	75700000000	4393000	9320000
Turkmenistan	69.47	6.7136537	1.2891428	3.6331804		3.9867717	3.3825608	3.5201036	0.12468123	0.76431623		19.46	5171943	13.2	9700	2413.0196	3312.1015	0.01554541	12480000000	17130000000	80400	3953000
Norway	81.6	6.711621	1.0824263	4.6368092	6.9	4.7435098	4.2432966	4.4764634	0.92777012	1.1134871		12.09	5147792	21.5	55400	17510.42	29954.59	0.86075739	90140000000	154200000000	4431000	5732000
Georgia	75.72	6.6933646	1.1115985	4.7010637	2	3.7853298	3.1556861	2.724605	0.51320322	0.95200856		12.93	4935880	22.1	6100	1431.1531	530.40187	0.26337755	7064000000	2618000000	1300000	4699000
Ireland	80.56	6.6841957	1.1812718	5.0199602	6.4	4.6159501	4.10475	4.3711826	0.79338095	1.0151539		15.18	4832765	25.2	41300	12727.703	23506.212	0.62945333	61510000000	113600000000	3042000	4906000
Costa Rica	78.23	6.6771719	1.206286	4.8682646	6.3	4.1105897	3.5673526	3.3895267	0.55882687	1.293522		16.08	4755234	23.7	12900	3692.7731	2452.035	0.31228747	17560000000	11660000000	1485000	6151000
"Congo, Republic of the"	58.52	6.6686138	1.5633624	2.1679483	6.2	3.6812412	2.9645515	3.3275475	0.22932601	0.91861654	0.44715803	36.59	4662446	4.7	4800	921.61925	2125.9227	0.05259042	4297000000	9912000000	245200	4283000
Croatia	76.41	6.6503594	0.97726621	4.9193496	4.3	4.25042	3.6869001	3.4416591	0.70690635	1.111724		9.49	4470534	24.2	17800	4862.9537	2764.7704	0.49971659	21740000000	12360000000	2234000	4970000
New Zealand	80.93	6.6436418	1.1271048	5.3197744	7.4	4.4828736	3.9286489	3.9343094	0.87885774	1.1181495		13.4	4401916	28.3	30400	8484.9416	8596.2567	0.77239093	37350000000	37840000000	3400000	4922000
Liberia	58.21	6.6119685	1.5449358	2.1908902	2.8	2.845098	2.7784366	2.356421	0.06990865	0.58499967		35.07	4092310	4.8	700	600.3944	227.20664	0.00488722	2457000000	929800000	20000	2394000
Bosnia and Herzegovina	76.33	6.5878953	0.94890176	5.1478151		3.9190781	3.4249419	3.1669879	0.60604119	0.86526573		8.89	3871643	26.5	8300	2660.3693	1468.8854	0.36728593	10300000000	5687000000	1422000	3350000
Puerto Rico	79.09	6.5588162	1.0374265			4.2121876	4.1162286	4.2847281	0.52552322	0.84509446		10.9	3620897		16300	13068.585	19263.183	0.27617466	47320000000	69750000000	1000000	3060000
Panama	78.3	6.5573184	1.2697464	5.0398413	3.5	4.2174839	3.8677265	3.7184535	0.51574042	1.8761617		18.61	3608431	25.4	16500	7374.3962	5229.4197	0.26598818	26610000000	18870000000	959800	6770000
Moldova	70.12	6.5542817	1.0867157	4.6043458	8.4	3.5797836	3.1855279	2.8257485	0.60992189	1.1386191		12.21	3583288	21.2	3800	1532.9496	669.49684	0.37200471	5493000000	2399000000	1333000	4080000
Mauritania	62.28	6.5461484	1.5028366	3.5637059	3.7	3.3424227	2.9795441	2.889696	0.14603482	1.1442201		31.83	3516806	12.7	2200	953.99064	775.70386	0.02132617	3355000000	2728000000	75000	4024000
Lithuania	75.98	6.5447795	0.97127585	5.2535702	5.4	4.3541084	3.9673711	3.9380941	0.7484814	1.4262332		9.36	3505738	27.6	22600	9276.2209	8671.498	0.56022441	32520000000	30400000000	1964000	5000000
Uruguay	76.81	6.5228317	1.1199154	4.9799598	4.5	4.2201081	3.5740783	3.4983576	0.64926551	1.5001626		13.18	3332972	24.8	16600	3750.4065	3150.3415	0.4215457	12500000000	10500000000	1405000	5000000
Oman	74.97	6.5078255	1.388634	4.5716518	4.3	4.4742163	3.9800196	4.2420653	0.67453743	1.639245		24.47	3219775	20.9	29800	9550.3568	17460.847	0.45500074	30750000000	56220000000	1465000	5278000
Armenia	74.12	6.485811	1.1436392	4.8989795	3.3	3.7993405	3.0531396	2.7324619	0.26081639	1.0530508		13.92	3060631	24	6300	1130.1591	540.08471	0.06802519	3459000000	1653000000	208200	3223000
Albania	77.96	6.480037	1.1048284	4.6151923	3.3	4.0293838	3.2043595	2.8860122	0.65607453	1.1588602		12.73	3020209	21.3	10700	1600.8826	769.15207	0.43043379	4835000000	2323000000	1300000	3500000
Mongolia	68.98	6.4702914	1.3197305	3.7947332	5.5	3.770852	3.2852786	3.1625706	0.33428068	1.142832		20.88	2953190	14.4	5900	1928.7618	1454.0209	0.11174357	5696000000	4294000000	330000	3375000
Jamaica	73.48	6.466875	1.2650538	4.9091751	6.1	3.9542425	3.2781216	2.7823233	0.73456194	0.90954079	0.23044892	18.41	2930050	24.1	9000	1897.2372	605.79171	0.53958124	5559000000	1775000000	1581000	2665000
Kuwait	77.64	6.43818	1.3066394	6.4807407	3.8	4.6242821	3.9495656	4.611038	0.63329538	2.0147949		20.26	2742711	42	42100	8903.5994	40835.509	0.40106304	24420000000	112000000000	1100000	5526000
West Bank	75.69	6.43633	1.3694014			3.462398	3.3019748	2.3872095	0.71058682	1.1134903		23.41	2731052		2900	2004.3558	243.89869	0.50493363	5474000000	666100000	1379000	3041000
Namibia	51.85	6.3421079	1.307068	3.082207	8.4	3.9138139	3.5081706	3.3675012	0.24082477	1.1076207	1.1238516	20.28	2198406	9.5	8200	3222.3347	2330.7797	0.05799657	7084000000	5124000000	127500	2435000
Latvia	73.44	6.335491	0.99078269	4.98999	5	4.2810334	3.8565186	3.7672856	0.83344783	1.0668933		9.79	2165165	24.9	19100	7186.5193	5851.748	0.69463528	15560000000	12670000000	1504000	2310000
Botswana	54.06	6.3336052	1.3291944	3.3466401	9.5	4.2148438	3.5349804	3.5454333	0.23593262	1.4296423	1.3617278	21.34	2155784	11.2	16400	3427.5234	3511.0197	0.0556642	7389000000	7569000000	120000	3082000
Qatar	78.38	6.3269827	0.99782308	5.7619441	2.5	5.0090257	4.2704931	3.776821	0.51531309	1.2245898		9.95	2123160	33.2	102100	18642.024	5981.65	0.26554758	39580000000	12700000000	563800	2600000
Macedonia	75.8	6.3205033	1.065953	4.5934736		4.0334238	3.4990406	3.3096193	0.71086286	1.0684992		11.64	2091719	21.1	10800	3155.2995	2039.949	0.505326	6600000000	4267000000	1057000	2235000
Slovenia	77.83	6.2984802	0.93145787	5.3478968	5.7	4.4377506	4.1711946	4.1598555	0.80797377	1.1296128		8.54	1988292	28.6	27400	14831.826	14449.588	0.65282162	29490000000	28730000000	1298000	2246000
Lesotho	52.65	6.288251	1.413635	3.8209946	13	3.3424227	3.0437833	2.6854309	0.19886352	0.67558939	1.363612	25.92	1942008	14.6	2200	1106.0717	484.653	0.0395467	2148000000	941200000	76800	1312000
"Gambia, The"	64.36	6.2845496	1.5017437	2.8106939	4.1	3.30103	2.2713908	1.7692968	0.25993445	0.79251031	0.11394335	31.75	1925527	7.9	2000	186.806	58.7891	0.06756592	359700000	113200000	130100	1526000
Kosovo		6.2693268			4.3	3.8808136	3.2618966	2.3413333		0.30228006			1859203		7600	1827.6649	219.44887		3398000000	408000000		562000
Gaza Strip	74.64	6.2592065	1.5078559						0.87132244	1.6742101		32.2	1816379					0.75920279			1379000	3041000
Guinea-Bissau	49.87	6.228759	1.529302	2.2135944		3.0791812	2.0859507	1.9403273	0.14801557	0.64958149	0.59106461	33.83	1693398	4.9	1200	121.88511	87.162026	0.02190861	206400000	147600000	37100	1100000
Gabon	52.06	6.2233913	1.5395779	3.7282704		4.2833012	3.371443	3.7668143	0.24304284	1.7517669	0.60205999	34.64	1672597	13.9	19200	2352.031	5845.4009	0.05906982	3934000000	9777000000	98800	2930000
Swaziland	50.54	6.152173	1.4010557	4.4384682	8.3	3.7558749	3.0367555	3.0527605	0.25192767	0.56705196	1.4232459	25.18	1419623	19.7	5700	1088.3171	1129.173	0.06346755	1545000000	1603000000	90100	805000
Mauritius	75.17	6.1242286	1.1290451	4.3011626	3.5	4.2068259	3.5706397	3.3210641	0.46675038	1.1155726	0.07918125	13.46	1331155	18.5	16100	3720.8289	2094.4218	0.21785592	4953000000	2788000000	290000	1485000
Bahrain	78.58	6.1186248	1.1436392	5.7358522	2.6	4.4742163	4.0400392	4.1971357	0.56500669	1.6170899		13.92	1314089	32.9	29800	10965.772	15744.748	0.31923256	14410000000	20690000000	419500	2125000
Estonia	74.07	6.0996534	1.0124154	4.5387223	5.7	4.350248	4.1146605	4.0796111	0.8788999	1.6455723	0.07918125	10.29	1257921	20.6	22400	13021.485	12011.883	0.77246504	16380000000	15110000000	971700	2070000
Trinidad and Tobago	72.29	6.0877516	1.1398791	5.4129474	3.2	4.307496	3.8962353	4.0214894	0.69606779	1.5393213	0.20411998	13.8	1223916	29.3	20300	7874.7234	10507.257	0.48451037	9638000000	12860000000	593000	1884000
